Gender Code,Hours Worked,Ordinary Pay,Special Salary,Overtime Hours,Overtime Pay,Bonus Pay
M,2041,94505,,0,4101.58,
W,2049,97504,,0,7168.94,
W,2046,97217,,0,8109.85,
W,1952,97590,,0,6537.35,
W,1651,90431,,0,12014.38,
M,1823,95542,,44,4241.4,
M,2063,91096,,41,3043.45,
M,1833,92471,,100,7776.29,
M,1688,94463,,92,4475.49,
M,1952,90774,,0,8259.89,
W,1620,92019,,0,6354.8,
W,1835,97421,,0,9109.31,
W,1758,91128,,0,6293.59,
W,1841,96303,,0,9092.59,
M,1976,92941,,0,11434.53,
M,1686,97050,,0,12548.32,
M,1917,93451,,59,5435.92,
M,2039,93104,,51,7887.35,
W,1988,95884,,60,7930.73,
W,1627,90407,,0,5588.18,
W,1968,96138,,0,3801.97,
W,2046,90301,,0,12387.29,
W,1859,96148,,0,10322.72,
W,1806,90244,,100,9608.66,
W,1905,90063,,100,6128.5,
W,1795,99516,,52,5563.57,
W,1679,99324,,62,7265.97,
M,1718,97272,,0,3493.65,
M,1929,98031,,0,7652.97,
M,1905,99836,,0,5737.82,
M,2078,99326,,0,5852,
M,1705,94930,,0,5937.72,
M,1675,99743,,56,6857.59,
M,2087,98031,,51,2607.98,
W,1841,96472,,57,6525.35,
W,1632,93270,,0,8805.15,
W,2062,98435,,0,7195.06,
W,2050,97638,,0,9703.14,
W,1816,96946,,0,4915.05,
W,1732,90698,,0,6377.06,
W,1631,94527,,66,11100.11,
M,1921,98882,,65,4520.87,
M,1979,95308,,77,3261.65,
M,1825,98922,,54,3984.97,
M,1986,97696,,88,3622.12,
M,2057,98281,,0,6338.42,
M,1968,95835,,0,3462.75,
M,2065,95850,,0,4846.07,
W,1950,92928,,0,9022.66,
M,1663,90508,,0,5460.36,
M,1944,99547,,0,3356.75,
M,1939,91466,,0,12115.57,
M,1926,90441,,86,3976.7,
M,1895,95730,,87,2403.38,
M,1697,97134,,82,4688.93,
M,1964,95333,,84,3189.22,
W,1652,91852,,0,7705.3,
M,1897,96232,,0,4676.61,
M,1659,92629,,51,3185.62,
M,1948,99822,,64,4721.02,
M,1812,91800,,0,4755.88,
M,1710,98105,,0,6655.16,
M,1729,96510,,0,7279.38,
W,1941,96511,,0,4606.79,
W,1983,98361,,0,11513.19,
W,1970,97349,,0,2237.59,
U,1913,98584,,66,9978.32,
M,1683,97114,,71,5446.34,
M,1629,97985,,43,5743.67,
M,2039,96228,,45,4545.22,
M,2046,94100,,0,6834.95,
U,2045,95898,,0,4902.71,
M,2072,92808,,0,9357.6,
M,1912,99079,,0,9205.99,
M,1923,94658,,0,9299.06,
M,1896,96170,,100,9134.78,
M,1693,94420,,87,2777,
M,1830,90716,,91,7113.3,
U,2027,91798,,42,9370.55,
M,1712,97502,,84,7002.36,
M,1918,97746,,0,5792.25,
M,1997,96982,,0,7468.07,
X,1683,90302,,0,6464.65,
M,2037,92519,,0,7477.05,
M,1856,95620,,60,2609.79,
M,1601,91472,,47,9735.02,
M,1611,97402,,81,9618.21,
M,1699,91525,,56,5598.59,
X,1931,97754,,71,11318.33,
M,2027,97097,,90,6113,
M,1912,93497,,0,10986.47,
W,2002,92378,,0,2764.86,
M,1987,94392,,0,10223.48,
M,1872,98402,,0,7408.75,
W,1875,98304,,0,8830.99,
M,1758,96913,,0,3767.68,
M,1667,94689,,0,10606.02,
M,1984,99060,,0,4163.93,
W,1604,92672,,0,5219.97,
W,1752,91587,,0,9939.01,
W,2022,90593,,0,9029.29,
W,1611,95121,,0,4448.8,
M,1693,99308,,0,4636.9,
M,1895,94325,,0,10078.49,
M,1856,94708,,0,3606.73,
W,1886,97011,,0,6610.47,
M,1770,94905,,0,3172.78,
M,1839,96284,,47,8032.77,
M,1980,92777,,48,6182.79,
W,1950,90593,,58,6263.65,
M,1688,91025,,73,11682.76,
M,1896,96970,,55,12109.95,
M,1987,99082,,64,5807.18,
U,2031,90816,,76,10832.8,
U,1851,94106,,0,6329.53,
M,1961,93533,,0,3037.37,
M,1620,97314,,0,5369.38,
M,2076,98963,,0,12023.32,
M,1923,95398,,0,9286.14,
M,1625,95964,,0,4343.03,
M,1730,93409,,0,6925.74,
M,2051,92401,,0,8342.57,
U,1993,94977,,0,6017.71,
M,1604,92688,,0,7177.17,
M,2010,90004,,0,4557.48,
M,1738,95892,,0,3680.98,
X,1904,99580,,0,6743.67,
M,2054,99662,,0,6631.02,
M,1987,91007,,0,6737.67,
M,2016,94150,,0,9815.37,
M,1972,91242,,0,2549.33,
X,1900,91314,,94,6261.61,
M,1685,92792,,95,2029.47,
M,1760,90715,,100,9529.04,
M,1659,93156,,90,12038.54,
M,1905,90563,,75,2783.41,
U,1725,92473,,73,4666.64,
M,1856,98304,,80,3637.91,
M,1705,97400,,61,7200.5,
M,2020,90679,,0,7639.19,
M,1956,98742,,0,4608.3,
M,2004,91637,,0,4230.05,
M,2084,99961,,0,5185.74,
X,1807,97520,,0,6932.93,
M,1796,96225,,0,3879.28,
M,1959,96237,,0,6751.48,
M,1764,93992,,0,2306.83,
M,1927,90911,,0,4725.99,
X,1958,95397,,0,5760.44,
M,1605,90006,,0,5393.69,
M,1863,98380,,0,8552.13,
M,1981,93670,,67,5133.25,
M,1731,90275,,50,4907.37,
M,1912,95010,,40,5375.37,
W,1857,98563,,69,6075.07,
M,2073,90523,,39,9858.82,
M,1790,90583,,55,5685.32,
M,2084,99414,,85,2745,
W,1643,95672,,0,9459.03,
M,1690,98793,,0,8183.63,
M,1778,97894,,0,3128.93,
M,1987,93388,,0,5150.39,
W,1916,99702,,0,7835.8,
M,1962,95161,,0,7515.67,
M,1916,92894,,0,5939.94,
M,1960,92849,,0,5293.09,
M,1896,94368,,0,8708.16,
M,2003,99856,,0,6077.48,
W,1894,98697,,0,8700.55,
M,1725,97387,,0,3497.24,
M,1667,93477,,0,4155.5,
M,1683,96679,,0,8044.83,
M,1659,99667,,0,12931.71,
M,1937,91474,,0,12167.21,
W,1648,94780,,0,5875.07,
M,1687,97860,,0,5472.32,
M,2077,98092,,0,6159.75,
M,2002,98727,,0,4805.27,
M,2083,99940,,0,8457.28,
M,1702,91095,,0,9821.44,
W,1912,99639,,0,7272.59,
M,1715,95562,,89,7774.16,
M,1619,95084,,99,6227.51,
M,1756,99362,,67,4516.39,
M,1789,99138,,97,12060.79,
M,1852,95467,,39,9738.88,
M,1980,95055,,60,4510.52,
M,1809,90792,,40,7641.22,
M,2062,92580,,54,6091.13,
M,1727,92525,,86,3545.06,
M,2073,95159,,87,4815.96,
M,1876,90939,,67,8867.13,
M,1969,98925,,0,6912.76,
M,1855,92605,,0,11216.94,
M,1745,93421,,0,10382.37,
M,1867,98179,,77,3952.94,
X,1950,93684,,41,3105.52,
M,2003,97366,,72,5195.75,
M,1922,97862,,98,3644.55,
M,2073,93500,,48,3592.97,
M,1655,99091,,0,2703.44,
M,2070,95264,,0,4440.82,
M,1774,94396,,0,6979.18,
M,1849,99212,,62,6827.62,
X,1839,92318,,71,8590.4,
M,1713,98698,,75,9950.25,
M,2018,93730,,85,12476,
M,2003,93667,,71,7830.49,
M,1656,98996,,0,3454.45,
M,1744,93571,,0,12575.42,
M,1893,96812,,0,13027.41,
X,1872,98185,,0,4574.55,
M,1974,94138,,0,2404.7,
M,1642,94901,,45,7876.51,
M,2080,98327,,73,9919.41,
M,1995,99109,,45,3840.25,
U,1764,96108,,87,11106.82,
M,1627,99115,,47,9298.83,
M,2041,95613,,85,4149.84,
M,1996,94344,,96,10065.88,
M,1982,99587,,99,8355.43,
M,2057,96131,,0,6089.63,
M,1765,91503,,0,10441.51,
M,1909,97233,,0,5607.6,
M,1853,97791,,0,5153.95,
M,2024,91474,,0,11092.88,
U,2068,97411,,0,5802.62,
M,1735,93065,,0,3859.62,
M,1840,95182,,0,6921,
M,1885,90189,,90,6900,
M,1610,98811,,82,1922.51,
M,1698,94941,,85,5414.95,
M,1771,96222,,89,4039.16,
M,1872,93411,,54,8390.41,
U,2067,91485,,52,7878.52,
M,1772,99935,,0,2869.9,
W,1816,92044,,0,7091.17,
W,1950,99647,,0,4818.29,
W,1855,94889,,0,10037.98,
M,2027,99814,,0,11774.14,
M,1796,95382,,0,8822.33,
W,1683,91513,,56,4496.9,
M,2078,99117,,0,3894.71,
U,1616,91386,,0,5160.96,
M,1938,94613,,0,7520.86,
M,2025,95050,,0,5941.09,
W,1614,95375,,0,8320.09,
W,2039,93453,,0,10859.52,
W,1952,93057,,0,7193.68,
M,1824,91285,,0,6508.87,
M,1808,90481,,0,11034.94,
W,1608,94752,,0,3831.42,
W,1786,92419,,0,6492.62,
W,1873,90688,,0,6151.89,
M,1842,93611,,53,4523.11,
M,2085,99588,,50,6060.39,
M,1733,96508,,64,13765.02,
M,1999,92632,,56,5680.72,
M,1737,93354,,71,5836,
M,1663,90902,,87,9836.21,
W,2066,91797,,48,6948.98,
M,1967,94282,,94,7619.84,
M,1847,99307,,54,6472.81,
W,1887,94980,,50,4785.67,
M,1952,92938,,39,7502.61,
M,1655,97499,,0,10854.15,
M,1975,92410,,0,5919.83,
W,2048,95654,,0,6766.97,
M,1797,94944,,0,2836.48,
M,2042,99003,,0,8922.71,
M,1999,93647,,0,8853.97,
X,1862,90116,,0,7600.44,
M,1639,97047,,100,2883.91,
M,2050,90311,,92,2072.4,
M,1840,98220,,55,6712.05,
M,1887,96233,,53,2640.41,
M,2065,90491,,4,4302.76,
U,1889,99665,,89,10529.59,
U,1754,95101,,91,9086.71,
U,1952,92118,,89,6673.6,
M,1900,94810,,4,3997.22,
M,2071,97622,,95,2145.22,
M,1650,97516,,50,10250.52,
M,1928,93131,,85,6679.4,
M,1995,94084,,53,8718.16,
M,2023,91783,,5,6486.57,
M,1615,92064,,57,4284.42,
X,1929,99549,,89,5147.54,
M,1719,91156,,65,6823.63,
M,1875,90800,,62,3134.35,
M,1809,97360,,98,13775.65,
M,1648,93322,,7,6715.97,
M,2084,95817,,64,5155.65,
M,1725,93925,,60,3605.14,
M,2023,95839,,67,4423.54,
M,1786,92427,,63,4657.48,
M,1758,92250,,56,4746.78,
U,1777,93279,,85,7516.84,
M,1636,92543,,55,4317.14,
M,1887,90862,,39,8156.45,
M,1621,99212,,0,4159.17,
M,1931,93819,,97,7506.88,
U,1890,94178,,81,7552.9,
M,2042,99571,,0,5048.63,
M,1895,94276,,0,9338.61,
W,1688,94030,,0,13105.55,
W,1634,94165,,0,8058.13,
W,1811,95069,,47,4694.04,
W,2078,91690,,90,7015.63,
W,1788,93476,,12,6860.1,
W,1896,92592,,77,5964.64,
W,1642,99086,,60,5616.89,
W,1929,94696,,54,13883.09,
M,1672,95201,,93,4559.19,
M,1705,90935,,68,4470.01,
W,1927,95705,,0,4502.13,
M,1799,91048,,80,10344.52,
M,1760,95266,,77,7661.54,
M,1752,96605,,0,10059.86,
M,2044,97750,,0,4767.93,
W,1824,97684,,0,9380.03,
M,1858,95200,,0,9970.14,
W,1715,94914,,0,8656.79,
W,1972,95516,,0,4823.3,
M,1726,95442,,43,5168.4,
M,1995,90740,,68,6533.61,
M,1690,99806,,73,5081.14,
W,1987,94823,,74,7033.61,
W,1645,92672,,86,4727.53,
W,2021,99459,,12,6311.4,
W,1643,95917,,92,7593.5,
W,1806,95342,,55,8862.76,
M,2011,98048,,41,3868.32,
M,1724,97686,,52,7044.77,
M,1659,97329,,12,5304.88,
M,2000,95936,,77,3820.99,
M,1961,93247,,57,3352.75,
M,1750,90404,,98,6838.22,
W,1822,90493,,43,9505.08,
W,1925,95310,,8,7960.84,
M,1925,90627,,8,5231.15,
M,2065,91769,,8,3730.58,
M,2086,98934,,8,7083.08,
M,1839,97226,,8,5813.19,
W,1714,99255,,40,7501.07,
W,1829,92607,,84,3894.71,
W,2011,96617,,59,9521.11,
W,1808,90348,,80,12954.65,
M,2004,96294,,6,5629.3,
M,2057,92599,,6,9251.68,
M,1987,90710,,6,12390.81,
W,1732,97233,,48,5341.44,
W,1925,94051,,73,7181.19,
M,1907,93446,,62,3587.79,
M,1961,92062,,4,6329.99,
M,1996,94082,,4,5231.16,
M,2065,95459,,4,3588.5,
M,1844,97239,,4,6342.07,
M,1877,96924,,4,10681.38,
X,2083,90857,,4,8980.17,
M,1939,92327,,4,7478.44,
M,1662,97632,,4,2354.12,
M,1673,96737,,4,3872.16,
M,1783,91488,,94,2861.23,
M,1948,93510,,68,7986.42,
M,1647,90062,,90,3538.59,
U,1860,98865,,77,2410.11,
M,1687,97753,,55,8178.9,
M,1808,90169,,3,2740.59,
M,1759,95077,,3,10449.92,
M,1820,97191,,3,3822.61,
U,1664,99213,,3,5866.1,
M,1773,98828,,3,5736.21,
M,1961,91154,,3,5694.1,
M,1983,98564,,66,9060.44,
M,2067,99713,,33,3929.91,
M,1662,98340,,3,3544.1,
U,1700,91564,,3,8152.79,
M,1892,93298,,3,10899.52,
M,1970,94685,,66,5170.92,
M,1896,95923,,63,14031.9,
W,1909,92938,,52,7215.67,
M,1810,93608,,3,5721,
M,1759,90584,,3,12379.1,
M,1810,94465,,4,6239.93,
W,1975,95368,,4,2250.97,
W,1819,91792,,4,7513.32,
W,1746,99100,,5,8241.33,
W,1979,96277,,96,13108.52,
M,2023,96666,,5,6064.59,
M,1773,95769,,5,13943.89,
M,1997,93556,,5,6445.26,
W,1790,95413,,5,6134.26,
W,1926,98056,,66,10752.55,
M,1680,98132,,87,6601.03,
M,1886,97696,,39,7148.13,
M,1882,90426,,7,5997.67,
W,1856,92546,,71,10906.41,
W,1997,99850,,59,9237.96,
W,1799,92480,,78,3719.45,
M,1804,91292,,53,7819.02,
M,1958,97454,,21,6236.99,
M,1899,92621,,43,2872.69,
M,2004,90561,,70,6219.15,
M,1685,93284,,55,2775.2,
W,1960,97216,,22,4982.95,
W,1665,95306,,82,14756.27,
W,2026,99161,,99,11721.2,
W,1970,98714,,44,8529.38,
W,1747,94198,,40,5282.27,
W,1946,90590,,40,6379.83,
M,1795,98458,,11,7122.45,
M,1884,98165,,42,5233.97,
M,2047,98555,,61,3813.49,
M,1828,94427,,66,4155.23,
M,1922,96884,,93,6739.07,
M,1727,92871,,95,14201.93,
M,1893,99382,,67,8909.09,
W,1893,91270,,53,7493.76,
W,1745,96525,,71,4080.14,
W,2071,93088,,3,4383,
W,2050,94902,,3,8420.75,
W,1719,94137,,3,4891.13,
W,1936,92299,,71,9679.89,
M,1873,97825,,95,9586.53,
M,1688,95089,,87,2197.22,
M,1973,93367,,62,10816.69,
M,1942,92238,,6,9165.26,
W,1993,94241,,6,7407.63,
W,1616,98933,,6,7370.06,
M,1760,93352,,87,5451.74,
M,1754,90400,,42,6255.12,
M,1720,99472,,65,7397.62,
M,2056,92764,,72,8097.64,
M,1685,95650,,7,2074.91,
M,2062,93739,,7,5861.91,
W,2035,93156,,7,8811.89,
W,1917,94968,,7,4434.15,
W,1688,90491,,7,12719.2,
W,1683,97442,,7,3545.15,
W,1692,95041,,7,7698.26,
