Gender Code,Hours Worked,Ordinary Pay,Special Salary,Overtime Hours,Overtime Pay,Bonus Pay
W,1945.3,103251.5,,,,
W,1721.1,103354.3,,,,
W,2065.7,105834,,,,
W,1892.3,103776,,,,
M,1738.4,136941.9,,,,
M,1781.7,120296,,,,
M,1771.1,146489.3,,,,
M,1734.7,135433.7,,,,
X,1861.7,103646.9,,,,
M,1962.5,146349.9,,,,
U,1987.6,100238.4,,1,65.42399954,
W,1788.9,114737.9,,,,
